i_subj_all,i_subj_curr,olife_total,i_onset,i_ori,i_trial,contrast,correct
0,0,50,0,1,46,0.016294250323400001,0
0,0,50,0,1,47,0.020257705717800001,0
0,0,50,0,1,48,0.025185242205399999,0
0,0,50,0,1,49,0.0283610341648,0
0,0,50,0,1,50,0.021075711012800001,1
0,0,50,0,1,51,0.035964491606600001,1
0,0,50,0,1,52,0.035259645123999997,1
0,0,50,0,1,53,0.030096086654400001,1
0,0,50,0,1,54,0.027805203280499999,1
0,0,50,0,1,55,0.025185242205399999,0
0,0,50,0,1,56,0.033891123018399999,1
0,0,50,0,1,57,0.018348911888299999,0
0,0,50,0,1,58,0.027260265791899999,1
0,0,50,0,1,59,0.030697712698699999,1
0,0,50,0,1,60,0.027805203280499999,0
0,0,50,0,1,61,0.026202221214099999,1
0,0,50,0,1,62,0.0242077349001,0
0,0,50,0,1,63,0.0187157098512,0
0,0,50,0,1,64,0.048396477563900003,0
0,0,50,0,1,65,0.032575716953800002,1
0,0,50,0,1,66,0.060168561352000001,0
0,0,50,0,1,67,0.031937285031400003,1
0,0,50,0,1,68,0.076299464510100001,1
0,0,50,0,1,69,0.073338076116699999,1
0,0,50,0,1,70,0.025185242205399999,1
0,0,50,0,1,71,0.023733302034900001,1
0,0,50,0,1,72,0.070491627209100002,1
0,0,50,0,1,73,0.067755656675299994,0
0,0,50,0,1,74,0.084236717026200003,1
0,0,50,0,1,75,0.022365066846900001,1
0,0,50,0,1,76,0.080967262414699995,1
0,0,50,0,1,77,0.0778247041714,1
0,0,50,0,1,78,0.020662660803800002,1
0,0,50,0,1,79,0.074804117105299994,1
0,0,50,0,1,80,0.033226911242099998,1
0,0,50,0,1,81,0.0109676760216,1
0,0,50,0,1,82,0.0051697203218499998,1
0,0,50,0,1,83,0.033226911242099998,0
0,0,50,0,1,84,0.165106831451,1
0,0,50,0,1,85,0.092999663115800005,1
0,0,50,0,1,86,0.060168561352000001,1
0,0,50,0,1,87,0.0031518630233299998,0
0,0,50,0,1,88,0.042134887026200003,1
0,0,50,0,1,89,0.0064272164011800002,1
0,0,50,0,1,90,0.0047762064916599999,0
0,0,50,0,1,91,0.0078339863054199994,0
0,0,50,0,1,92,0.0219267473268,0
0,0,50,0,1,93,0.0176367410356,0
0,0,50,0,1,94,0.056699817612500002,1
0,0,50,0,1,95,0.048396477563900003,1
0,0,50,0,1,96,0.033891123018399999,1
0,0,50,0,1,97,0.021497018167899999,0
0,0,50,0,1,98,0.042134887026200003,0
